import time: self [us] | cumulative | imported package
import time:        93 |         93 | winreg
import time:       176 |        176 |   _io
import time:        35 |         35 |   marshal
import time:       176 |        176 |   nt
import time:       575 |        960 | _frozen_importlib_external
import time:       752 |        752 |   time
import time:       237 |        989 | zipimport
import time:        54 |         54 |     _codecs
import time:       521 |        575 |   codecs
import time:       907 |        907 |   encodings.aliases
import time:      1540 |       3020 | encodings
import time:       384 |        384 | encodings.utf_8
import time:       384 |        384 | encodings.cp1255
import time:        46 |         46 | _signal
import time:        34 |         34 |     _abc
import time:       164 |        197 |   abc
import time:       147 |        343 | io
import time:        60 |         60 |       _stat
import time:        90 |        150 |     stat
import time:       747 |        747 |     _collections_abc
import time:       116 |        116 |       genericpath
import time:        99 |         99 |       _winapi
import time:       260 |        473 |     ntpath
import time:       714 |       2083 |   os
import time:       109 |        109 |   _sitebuiltins
import time:        67 |         67 |   errno
import time:       439 |        439 |   encodings.utf_8_sig
import time:      1507 |       1507 |   _distutils_hack
import time:       351 |        351 |   sitecustomize
import time:      1772 |       6325 | site
import time:       756 |        756 | linecache
import time:       603 |        603 |       types
import time:      5348 |       5348 |       _ctypes
import time:       116 |        116 |         _struct
import time:       629 |        744 |       struct
import time:       733 |        733 |       ctypes._endian
import time:      1428 |       8853 |     ctypes
import time:       223 |        223 |           itertools
import time:       763 |        763 |           keyword
import time:       121 |        121 |             _operator
import time:       953 |       1074 |           operator
import time:       621 |        621 |           reprlib
import time:        80 |         80 |           _collections
import time:      2294 |       5052 |         collections
import time:        76 |         76 |           _functools
import time:       912 |        988 |         functools
import time:      1049 |       7088 |       contextlib
import time:      1699 |       1699 |         enum
import time:        76 |         76 |           _sre
import time:       459 |        459 |             re._constants
import time:       542 |       1001 |           re._parser
import time:       345 |        345 |           re._casefix
import time:       845 |       2265 |         re._compiler
import time:       572 |        572 |         copyreg
import time:       956 |       5492 |       re
import time:       377 |        377 |           posix
import time:       335 |        335 |           posix
import time:       197 |        908 |         posixpath
import time:       525 |       1432 |       fnmatch
import time:       872 |      14882 |     glob
import time:      2552 |       2552 |       _hashlib
import time:       195 |        195 |       _blake2
import time:       815 |       3561 |     hashlib
import time:      1940 |       1940 |         textwrap
import time:      1155 |       1155 |         warnings
import time:       684 |        684 |           __future__
import time:       798 |       1481 |         _colorize
import time:      1495 |       6069 |       traceback
import time:       574 |        574 |         _weakrefset
import time:      1054 |       1627 |       weakref
import time:        44 |         44 |         _string
import time:       807 |        851 |       string
import time:       830 |        830 |       threading
import time:        48 |         48 |       atexit
import time:      2606 |      12029 |     logging
import time:        57 |         57 |         _heapq
import time:       596 |        653 |       heapq
import time:       867 |        867 |       _queue
import time:       723 |       2242 |     queue
import time:        99 |         99 |       zlib
import time:       518 |        518 |         _compression
import time:       709 |        709 |         _bz2
import time:       586 |       1813 |       bz2
import time:       679 |        679 |         _lzma
import time:       567 |       1245 |       lzma
import time:      1294 |       4449 |     shutil
import time:        61 |         61 |         _locale
import time:      1008 |       1069 |       locale
import time:       646 |        646 |       signal
import time:       371 |        371 |       fcntl
import time:        55 |         55 |       msvcrt
import time:       952 |       3092 |     subprocess
import time:       810 |        810 |       pathlib._abc
import time:       367 |        367 |         pwd
import time:       339 |        339 |         grp
import time:       718 |       1422 |       pathlib._local
import time:       604 |       2836 |     pathlib
import time:       511 |        511 |       numpy.version
import time:       336 |        336 |       numpy._expired_attrs_2_0
import time:       598 |        598 |           numpy._utils._convertions
import time:       503 |       1101 |         numpy._utils
import time:      1089 |       2189 |       numpy._globals
import time:        98 |         98 |         numpy._distributor_init_local
import time:       645 |        743 |       numpy._distributor_init
import time:       209 |        209 |                   _datetime
import time:       662 |        870 |                 datetime
import time:       107 |        107 |                 math
